id,count,doc,NumWords
1048,1,3,729
695,1,3,729
943,1,3,729
712,1,3,729
713,1,3,729
973,1,3,729
716,1,3,729
719,1,3,729
1037,1,3,729
316,1,3,729
737,1,3,729
26,2,3,729
746,1,3,729
750,1,3,729
82,1,3,729
242,1,3,729
755,4,3,729
756,5,3,729
763,1,3,729
194,1,3,729
767,1,3,729
768,4,3,729
771,1,3,729
278,1,3,729
777,3,3,729
778,3,3,729
780,1,3,729
784,2,3,729
477,1,3,729
360,1,3,729
27,1,3,729
793,1,3,729
795,3,3,729
796,1,3,729
797,7,3,729
434,1,3,729
801,1,3,729
804,1,3,729
806,3,3,729
811,1,3,729
816,2,3,729
541,1,3,729
822,4,3,729
823,1,3,729
827,1,3,729
828,1,3,729
829,2,3,729
693,1,3,729
833,1,3,729
838,1,3,729
839,1,3,729
841,6,3,729
845,1,3,729
846,1,3,729
725,1,3,729
850,1,3,729
862,1,3,729
863,1,3,729
865,1,3,729
866,16,3,729
867,1,3,729
868,11,3,729
508,1,3,729
871,1,3,729
873,2,3,729
882,1,3,729
886,1,3,729
888,1,3,729
890,1,3,729
893,2,3,729
897,1,3,729
898,1,3,729
901,4,3,729
907,1,3,729
908,4,3,729
909,1,3,729
910,1,3,729
515,2,3,729
913,1,3,729
916,1,3,729
918,1,3,729
921,1,3,729
923,2,3,729
924,1,3,729
925,1,3,729
928,1,3,729
840,1,3,729
107,1,3,729
931,1,3,729
934,1,3,729
935,1,3,729
940,1,3,729
633,1,3,729
945,1,3,729
946,1,3,729
192,1,3,729
949,3,3,729
953,1,3,729
958,2,3,729
960,1,3,729
963,2,3,729
964,1,3,729
968,1,3,729
970,2,3,729
715,1,3,729
638,1,3,729
985,1,3,729
199,2,3,729
988,1,3,729
397,1,3,729
990,12,3,729
876,1,3,729
999,2,3,729
93,1,3,729
168,1,3,729
545,1,3,729
1012,1,3,729
1013,1,3,729
1014,6,3,729
1018,1,3,729
1021,1,3,729
644,1,3,729
1081,1,3,729
1028,1,3,729
1029,2,3,729
1033,2,3,729
1035,2,3,729
1044,2,3,729
1052,1,3,729
851,1,3,729
1058,1,3,729
1060,3,3,729
1061,1,3,729
1065,1,3,729
952,1,3,729
956,1,3,729
1069,1,3,729
1070,1,3,729
1073,1,3,729
536,2,3,729
1078,1,3,729
1079,1,3,729
1027,1,3,729
37,1,3,729
1084,1,3,729
1085,4,3,729
1086,1,3,729
1087,9,3,729
1089,1,3,729
1090,3,3,729
1091,1,3,729
208,1,4,60
68,1,4,60
544,1,4,60
1032,1,4,60
406,1,4,60
991,1,4,60
76,1,4,60
901,3,4,60
620,1,4,60
631,1,4,60
343,1,4,60
768,1,4,60
220,1,4,60
143,1,4,60
347,1,4,60
560,1,4,60
562,1,4,60
581,1,4,60
835,1,4,60
1073,1,4,60
715,1,4,60
442,1,4,60
506,1,4,60
235,1,4,60
338,1,4,60
706,1,4,60
679,1,4,60
304,2,4,60
848,1,4,60
240,1,4,60
657,1,4,60
